Concentrations of donor,,,,,,,,,,,,
,Y1,,,Y2,,,Y3,,,Y4,,
X,0.05,,,0.1,,,0.5,,,1,,
4,10529.81,12372.93,11652.47,23607.65,23508.99,21770.72,120459.3,128129.8,113025,240414.1,231734.3,234908.4
2.85,13060.05,12143.78,11162.28,24964.04,24435.22,23707.77,122146.4,106451.7,123294.2,209717.7,255120.7,222419.1
1.81,11562.18,11052.03,12999.7,25854.25,23127.88,21158.43,103136.4,120308.8,114648.7,236542.2,221524.5,225014
1.353,10557.03,11852.72,11117.94,24326.06,22762.29,21417.19,111790,117785.8,102151.8,209422.6,206324.5,203944.9
1.162,11370.02,10180.16,12323.28,23868.78,25309.8,21965.47,101585.8,117123.9,107770.9,170303.6,178984.1,178602
0.971,11489.08,12928.96,11597.05,22456.54,21968.55,21076.9,111025.9,102635.8,103080.2,194042.9,175995.7,182008.7
0.78,9755.201,10518.23,10844.1,19868.39,19724.94,20173.11,99162.7,96847.57,87993.66,136986,147700.7,141731.9
0.589,10497.19,9773.13,9592.151,18584.71,19633.98,20048.02,75950.83,95974.96,90930.36,122211.8,113782.1,119413
0.398,9044.105,10743.67,9594.759,18641.72,18400.12,17729.37,68234.94,65803.98,68829.54,79853.77,94859.8,80835.57
0.207,8357.193,7619.252,7759.096,13644.08,16614.98,16988.88,40725.46,36984.7,37711.32,48414.29,44139.3,46054.75
0.016,1242.236,1154.966,1340.396,1903.037,2125.504,1919.62,2941.477,3646.679,3182.162,3632.219,3377.047,3537.214
0.0077,539.8057,559.8865,594.9077,961.346,970.2253,890.1956,1590.1,1532.692,1669.28,1522.451,1579.086,1590.086
0.0015,139.1652,134.6563,117.0265,186.834,155.3922,190.2439,288.9815,335.545,273.5783,368.8503,305.1279,345.9749
0,24.9039,27.5031,25.09567,44.9592,45.1967,48.06311,11.30382,11.15245,12.40635,-42.08058,-47.63079,-41.15529
